"ueln" "ncapa_fenotipica" "n_dilucion_capa_feno" "sexo" "nclase_3_imbreding" "n_lustro" "vcabeza_entreojos"
"190101002206608" 1 1 2 1 1 0
"190101002206813" 3 1 1 1 1 1
"190101002206835" 4 1 2 1 1 1
"190101002207026" 1 1 2 1 1 0
"190101002207131" 1 1 2 1 1 1
"190101002207451" 1 1 1 1 1 0
"190101002207453" 1 1 1 1 1 0
"190101002207512" 1 1 2 1 1 1
"190101002207706" 4 1 1 1 1 1
"190101002207931" 3 1 2 1 1 0
"190101002207951" 4 1 2 1 1 0
"190101002207964" 4 1 2 1 1 0
"190101002207976" 1 1 2 1 1 1
"190101002208036" 4 1 2 1 1 1
"190101002208085" 4 1 2 1 1 1
"190101002208418" 3 1 1 1 1 1
"190101002208523" 1 1 2 1 1 0
"190101002208535" 1 1 2 1 1 1
"190101002208554" 1 1 2 1 1 0
"190101002208650" 4 1 2 1 1 1
"190101002208682" 4 1 1 2 1 1
"190101002208696" 4 1 2 2 1 1
"190101002208697" 4 1 2 2 1 1
"190101002208700" 4 1 2 2 1 1
"190101002208726" 4 1 2 3 1 1
"190101002208728" 4 1 2 3 1 1
"190101002208861" 1 1 1 1 1 0
"190101002209020" 4 1 2 1 1 1
"190101002209097" 2 1 2 1 1 1
"190101002210021" 4 1 2 2 1 0
"190101002210022" 1 1 2 2 1 0
"190101002210023" 1 1 2 3 1 1
"190101002210024" 4 1 2 2 1 0
"190101002210025" 4 1 2 2 1 0
"190101002210026" 4 1 2 1 1 1
"190101002210095" 1 1 1 1 1 0
"190101002210121" 4 1 2 1 1 0
"190101002210123" 3 1 2 1 1 0
"190101002210161" 1 1 2 1 1 1
"190101002210178" 1 1 1 1 1 1
"190101002210230" 1 1 1 1 1 1
"190101002210529" 1 1 2 1 1 1
"190101002210535" 4 1 2 1 1 1
"190101002210615" 4 1 2 1 1 0
"190101002210617" 4 1 2 1 1 1
"190101002210676" 4 1 2 1 1 1
"190101002210791" 1 1 2 1 1 0
"190101002210882" 2 1 1 1 1 1
"190101002211568" 4 1 2 1 1 0
"190101002211710" 4 1 2 1 1 1
"190101002211726" 4 1 2 2 1 0
"190101002211751" 2 2 2 1 1 1
"190101002211872" 1 1 2 1 1 1
"190101002211891" 3 1 2 1 1 1
"190101002211989" 4 1 2 1 1 1
"190101002211990" 4 1 2 1 1 1
"190101002212027" 3 1 1 1 1 1
"190101002212046" 2 1 2 1 1 1
"190101002212075" 3 1 2 1 1 0
"190101002212143" 1 1 2 1 1 0
"190101002212184" 1 1 2 1 1 1
"190101002212346" 4 1 2 1 1 1
"190101002212367" 4 1 1 1 1 1
"190101002212384" 1 1 2 1 1 0
"190101002212480" 1 1 2 1 1 1
"190101002212520" 4 1 2 1 1 1
"190101002212572" 1 1 2 1 1 0
"190101002212574" 1 1 2 1 1 0
"190101002212685" 3 1 1 1 1 0
"190101002213133" 4 1 2 3 1 1
"190101002213137" 3 1 2 1 1 0
"190101002213139" 1 1 2 1 1 1
"190101002213557" 4 1 1 1 1 0
"190101002213662" 4 1 1 1 1 1
"190101002213706" 4 1 2 3 1 0
"190101002213750" 3 1 2 1 1 1
"190101002213941" 4 1 2 1 1 0
"190101002213957" 3 1 1 1 1 0
"190101002214051" 1 1 1 2 1 1
"190101002214442" 3 1 2 1 1 1
"190101002214582" 1 1 2 1 1 0
"190101002214902" 4 1 2 1 1 0
"190101002214903" 4 1 2 1 1 0
"190101002214974" 2 1 2 1 1 0
"190101002215066" 1 1 2 1 1 1
"190101002215081" 4 1 1 1 1 1
"190101002215189" 1 1 2 1 1 0
"190101002215234" 3 1 2 1 1 0
"190101002215299" 1 1 1 2 1 1
"190101002215333" 3 1 2 1 1 0
"190101002215452" 4 1 2 1 1 1
"190101002215562" 4 1 1 2 1 0
"190101002215591" 4 1 2 1 1 0
"190101002215639" 4 1 2 2 1 1
"190101002215651" 1 1 2 1 1 0
"190101002215706" 1 1 2 1 1 0
"190101002215774" 1 1 2 3 1 1
"190101002215820" 4 1 2 1 1 0
"190101002215998" 3 1 1 1 1 0
"190101002216006" 4 1 2 1 1 0
"190101002216056" 1 1 2 1 1 0
"190101002216064" 3 1 2 1 1 1
"190101002216070" 1 1 1 1 1 0
"190101002216104" 1 1 2 1 1 1
"190101002216151" 3 1 2 1 1 1
"190101002216375" 4 1 2 1 1 1
"190101002216764" 3 1 2 2 1 0
"190101002216812" 3 1 2 2 1 1
"190101002216833" 3 1 2 1 1 1
"190101002216845" 4 1 1 2 1 1
"190101002216881" 4 1 2 1 1 0
"190101002216932" 4 1 2 1 1 0
"190101002216969" 3 1 2 1 1 1
"190101002217228" 1 1 2 1 1 1
"190101002217337" 3 1 1 1 1 1
"190101002217469" 1 1 2 1 1 1
"190101002217490" 1 1 2 1 1 1
"190101002218926" 2 1 2 1 1 1
"1901010022AL080" 4 1 2 2 1 1
"1901010022AL082" 4 1 2 2 1 0
"1901010022AL084" 1 1 1 1 1 0
"1901010022BE030" 4 1 2 1 1 0
"1901010022CR180" 4 1 2 1 1 1
"1901010022CR187" 4 1 1 1 1 1
"1901010022DK011" 4 1 2 1 1 0
"1901010022DK021" 4 1 2 2 1 0
"1901010022FR044" 1 1 2 1 1 1
"1901010022FR072" 4 1 2 1 1 1
"1901010022MX288" 4 1 1 1 1 0
"190101002300110" 4 1 2 1 1 1
"190101002300114" 4 1 2 1 1 1
"190101002300178" 4 1 2 1 1 1
"190101002300317" 4 1 1 1 1 0
"190101002300377" 4 1 2 1 1 0
"190101002300383" 3 1 2 1 1 0
"190101002300384" 3 1 2 1 1 0
"190101002300387" 3 1 2 1 1 1
"190101002300397" 3 1 2 1 1 1
"190101002300576" 4 1 2 1 1 0
"190101002300617" 1 1 2 1 1 1
"190101002300711" 4 1 2 1 1 0
"190101002300722" 1 1 1 1 1 1
"190101002300743" 3 1 1 1 1 1
"190101002300807" 1 1 2 1 1 1
"190101002300811" 3 1 1 1 1 0
"190101002300827" 4 1 2 1 1 0
"190101002300836" 1 1 2 1 1 0
"190101002300839" 3 1 2 1 1 1
"190101002300847" 1 1 1 1 1 0
"190101002300997" 3 1 1 1 1 1
"190101002301031" 4 1 2 1 1 1
"190101002301145" 4 1 2 1 1 0
"190101002301201" 3 1 2 1 1 0
"190101002301219" 3 1 2 1 1 0
"190101002301440" 3 1 2 1 1 1
"190101002301441" 3 1 2 1 1 1
"190101002301490" 4 1 2 3 1 0
"190101002301548" 1 1 1 1 1 0
"190101002301568" 1 1 2 1 1 1
"190101002301659" 3 1 2 1 1 1
"190101002301670" 3 1 2 1 1 1
"190101002301859" 4 1 2 3 1 1
"190101002301861" 4 1 2 3 1 1
"190101002301866" 2 1 1 1 1 1
"190101002301914" 4 1 2 3 1 0
"190101002301940" 4 1 2 1 1 0
"190101002301952" 2 1 1 1 1 1
"190101002302091" 1 1 2 1 1 0
"190101002302104" 4 1 2 1 1 0
"190101002302157" 1 1 2 1 1 1
"190101002302271" 1 1 2 1 1 0
"190101002302303" 3 1 2 1 1 0
"190101002302367" 3 1 2 1 1 0
"190101002302370" 1 1 1 1 1 0
"190101002302375" 1 1 2 1 1 1
"190101002302470" 3 1 1 1 1 1
"190101002302495" 1 1 1 1 1 1
"190101002302585" 4 1 2 1 1 0
"190101002302604" 1 1 2 1 1 0
"190101002302649" 4 1 2 1 1 1
"190101002302656" 4 1 2 1 1 0
"190101002302702" 2 1 2 2 1 0
"190101002302733" 3 1 1 1 1 1
"190101002302779" 4 1 2 3 1 1
"190101002302795" 4 1 2 1 1 0
"190101002302847" 1 1 2 1 1 1
"190101002302889" 4 1 2 1 1 0
"190101002302955" 3 1 2 1 1 1
"190101002302964" 4 1 2 1 1 0
"190101002303001" 4 1 2 3 1 0
"190101002303198" 3 1 2 1 1 0
"190101002303256" 1 1 2 1 1 1
"190101002303264" 3 1 1 1 1 1
"190101002303277" 4 1 2 1 1 0
"190101002303279" 4 1 2 1 1 1
"190101002303415" 4 1 2 1 1 0
"190101002303620" 4 1 2 1 1 1
"190101002303702" 1 1 2 1 1 0
"190101002303783" 4 1 2 2 1 1
"190101002304069" 1 1 2 1 1 1
"190101002304141" 1 1 2 1 1 1
"190101002304151" 4 1 2 1 1 0
"190101002304266" 4 1 2 1 1 0
"190101002304284" 4 1 2 1 1 0
"190101002304349" 4 1 1 1 1 1
"190101002304353" 2 1 2 1 1 0
"190101002304378" 1 1 2 1 1 0
"190101002304486" 4 1 2 1 1 1
"190101002304506" 3 1 1 3 1 0
"190101002304690" 1 2 2 1 1 0
"190101002304700" 4 1 2 1 1 1
"190101002304730" 4 1 2 1 1 1
"190101002304879" 1 1 2 1 1 0
"190101002305008" 4 1 1 1 1 1
"190101002305249" 3 1 2 1 1 1
"190101002305378" 4 1 1 1 1 1
"190101002305542" 1 1 2 1 1 0
"190101002305546" 1 1 2 1 1 1
"190101002305591" 4 1 2 1 1 0
"190101002305672" 1 1 2 1 1 1
"190101002305686" 4 1 2 1 1 1
"190101002305687" 4 1 2 1 1 1
"190101002305714" 1 1 2 1 1 1
"190101002305753" 1 1 2 1 1 0
"190101002305956" 4 1 1 2 1 1
"190101002305999" 1 1 2 1 1 1
"190101002306002" 3 1 2 1 1 1
"190101002306014" 1 1 2 1 1 0
"190101002306018" 1 2 2 3 1 0
"190101002306172" 1 1 1 2 1 0
"190101002306288" 3 1 1 1 1 1
"190101002306336" 1 1 2 1 1 0
"190101002306382" 1 1 1 1 1 0
"190101002306444" 4 1 1 1 2 0
"190101002306460" 4 1 2 1 2 1
"190101002306462" 1 2 1 1 2 1
"190101002306629" 4 1 1 1 1 0
"190101002306632" 3 1 1 2 1 0
"190101002306949" 4 1 2 1 1 1
"190101002306954" 4 1 1 1 1 0
"190101002307077" 4 1 2 1 1 1
"190101002307081" 4 1 2 1 1 1
"190101002307219" 3 1 2 1 1 1
"190101002307291" 4 1 2 1 2 1
"190101002307488" 1 1 2 1 1 0
"190101002307543" 3 1 2 1 2 0
"190101002307554" 3 1 2 1 2 0
"190101002307638" 4 1 2 1 1 1
"190101002307711" 4 1 1 1 2 1
"190101002307778" 4 1 1 1 1 1
"190101002307829" 3 1 2 1 1 1
"190101002307951" 1 1 1 2 1 1
"190101002308179" 3 1 2 1 2 1
"190101002308207" 3 1 1 1 2 0
"190101002308212" 4 1 2 1 2 0
"190101002308409" 3 1 1 1 2 0
"190101002308536" 1 1 2 1 2 1
"190101002308687" 1 1 2 1 1 1
"190101002308728" 1 1 2 1 2 1
"190101002308741" 3 1 1 1 2 0
"190101002308880" 1 1 2 1 2 0
"190101002308911" 4 1 2 1 1 1
"190101002308945" 3 1 2 1 2 1
"190101002309158" 1 1 2 1 2 1
"190101002309170" 4 1 2 1 2 1
"190101002309192" 4 1 2 1 2 1
"190101002309239" 1 1 2 1 2 0
"190101002309268" 1 1 2 1 2 0
"190101002309302" 3 1 2 1 2 1
"190101002309329" 3 1 1 1 2 1
"190101002309345" 1 1 1 1 2 0
"190101002309383" 1 1 2 2 2 1
"190101002309432" 4 1 1 1 2 1
"190101002309470" 4 1 2 1 2 0
"190101002309471" 4 1 1 1 2 0
"190101002309551" 4 1 2 1 2 1
"190101002309576" 4 1 2 1 2 0
"190101002309595" 4 1 2 1 2 1
"190101002309670" 4 1 2 1 2 1
"190101002309751" 1 1 1 1 2 1
"190101002309758" 1 1 2 1 2 1
"190101002309815" 3 1 2 1 2 1
"190101002309871" 1 1 2 2 2 0
"190101002309899" 1 1 2 1 2 1
"190101002309911" 1 1 2 1 2 1
"190101002309991" 4 1 2 1 2 1
"190101002310015" 1 1 1 1 2 1
"190101002310142" 1 1 1 1 2 0
"190101002310163" 2 1 1 1 2 0
"190101002310255" 4 1 2 1 1 0
"190101002310258" 4 1 2 1 2 1
"190101002310609" 3 1 2 1 2 1
"190101002310636" 2 1 2 1 2 1
"190101002310704" 4 1 2 3 2 1
"190101002310708" 1 1 2 1 2 0
"190101002310742" 4 1 2 1 1 0
"190101002310767" 1 1 2 1 2 0
"190101002310804" 4 1 2 1 2 0
"190101002310835" 4 1 2 1 2 1
"190101002310864" 1 1 2 1 2 1
"190101002310880" 1 1 2 1 2 0
"190101002310887" 1 1 2 1 2 1
"190101002310929" 1 1 2 1 2 1
"190101002310949" 1 1 2 1 2 1
"190101002310955" 4 1 2 1 2 0
"190101002310981" 4 1 1 1 2 0
"190101002311025" 4 1 2 1 2 1
"190101002311060" 3 1 2 1 2 1
"190101002311088" 1 1 2 1 2 1
"190101002311118" 1 1 2 1 2 1
"190101002311120" 1 1 2 1 2 0
"190101002311368" 4 1 1 1 2 0
"190101002311396" 1 1 2 1 2 0
"190101002311663" 3 1 2 1 2 1
"190101002311768" 1 1 2 1 2 1
"190101002311770" 1 1 2 1 2 0
"190101002311836" 3 1 1 1 2 1
"190101002311883" 4 1 1 2 2 1
"190101002311970" 4 1 2 1 2 1
"190101002311977" 3 1 1 1 2 1
"190101002312124" 4 1 2 1 2 1
"190101002312134" 1 1 1 1 2 0
"190101002312202" 3 1 1 1 2 1
"190101002312224" 3 1 2 1 2 1
"190101002312227" 4 1 2 1 2 0
"190101002312287" 4 1 2 1 1 0
"190101002312356" 4 1 2 1 2 1
"190101002312577" 4 1 2 1 2 1
"190101002312590" 1 1 2 1 2 1
"190101002312628" 1 1 2 1 2 1
"190101002312632" 1 1 2 2 2 0
"190101002312720" 3 1 1 1 2 0
"190101002312784" 3 1 2 1 2 0
"190101002312804" 3 1 2 1 2 1
"190101002312823" 4 1 1 1 2 1
"190101002312832" 1 1 2 1 2 1
"190101002312856" 3 1 2 1 2 1
"190101002312925" 4 1 2 1 2 1
"190101002313007" 1 1 2 1 2 1
"190101002313024" 1 1 2 1 2 1
"190101002313041" 3 1 2 1 2 1
"190101002313053" 4 1 2 1 2 1
"190101002313083" 3 1 2 1 2 1
"190101002313227" 1 1 1 1 2 0
"190101002313319" 4 1 2 1 2 0
"190101002313357" 3 1 2 1 2 1
"190101002313376" 1 1 2 1 2 1
"190101002313435" 4 1 2 1 2 1
"190101002313465" 4 1 1 1 2 1
"190101002313555" 4 1 2 1 2 1
